Code,name,symptoms_0,symptoms_1,symptoms_2,symptoms_3,symptoms_4,symptoms_5,symptoms_6,symptoms_7,symptoms_8,symptoms_9,symptoms_10,symptoms_11,symptoms_12,symptoms_13,symptoms_14,symptoms_15,symptoms_16,symptoms_17,symptoms_18,symptoms_19,symptoms_20,symptoms_21,symptoms_22,symptoms_23,Description,commonTestsAndProcedures,commonMedications,age,gender,race/ethnicity
105,Panic disorder,Anxiety and nervousness,88,Depression,55,Shortness of breath,40,Depressive or psychotic symptoms,33,Sharp chest pain,33,Dizziness,24,Insomnia,18,Abnormal involuntary movements,16,Chest tightness,14,Palpitations,13,Irregular heartbeat,11,Breathing fast,"10"""," , ,Panic disorder is an anxiety disorder characterized by recurring severe panic attacks. It may also include significant behavioral changes lasting at least a month and of ongoing worry about the implications or concern about having other attacks. The latter are called anticipatory attacks (DSM-IVR). Panic disorder is not the same as agoraphobia (fear of public places), although many afflicted with panic disorder also suffer from agoraphobia. Panic attacks cannot be predicted, therefore an individual may become stressed, anxious or worried wondering when the next panic attack will occur. Panic disorder may be differentiated as a medical condition, or chemical imbalance. The DSM-IV-TR describes panic disorder and anxiety differently. Whereas anxiety is preceded by chronic stressors which build to reactions of moderate intensity that can last for days, weeks or months, panic attacks are acute events triggered by a sudden, out-of-the-blue cause: duration is short and symptoms are more intense. Panic attacks can occur in children, as well as adults. Panic in young people may be particularly distressing because children tend to have less insight about what is happening, and parents are also likely to experience distress when attacks occur. , Source: Wikipedia,Patients with panic disorder often receive ",",Psychotherapy,Mental health counseling,Electrocardiogram,Depression screen Depression screening,Toxicology screen,Psychological and psychiatric evaluation and therapy,Occupational therapy assessment Speech therapy",",Lorazepam,Alprazolam Xanax,Clonazepam,Paroxetine Paxil,Venlafaxine Effexor,Mirtazapine,Buspirone Buspar,Fluvoxamine Luvox,Imipramine,Desvenlafaxine Pristiq,Clomipramine,Acamprosate Campral,Disulfiram Antabuse",30-44,Unspecified,other
106,Vocal cord polyp,Hoarse voice,91,Sore throat,47,Difficulty speaking,27,Cough,27,Nasal congestion,27,Throat swelling,19,Diminished hearing,19,Lump in throat,19,Throat feels tight,11,Difficulty in swallowing,11,Skin swelling,11,Retention of urine,"11"""," , ,Vocal cord polyp is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with vocal cord polyp often receive , ",",Tracheoscopy and laryngoscopy with biopsy,Occupational therapy assessment Speech therapy,Other diagnostic procedures interview evaluation consultation,Physical therapy exercises Exercises,Diagnostic procedures on nose mouth and pharynx,Other physical therapy and rehabilitation,Ophthalmologic and otologic diagnosis and treatment,Other diagnostic procedures of respiratory tract and mediastinum",",Esomeprazole Nexium,Beclomethasone Nasal Product,Nicotine,Azelastine Nasal,Phenylephrine Duramax,Rabeprazole Aciphex,Vinorelbine Navelbine,Vitamin A,Adalimumab Humira,Rituximab,Aprepitant Emend","60-74,45-59",Unspecified,other
107,Turner syndrome,Groin mass,27,Leg pain,27,Hip pain,27,Suprapubic pain,27,Blood in stool,27,Lack of growth,27,Diminished hearing,27,Depression,27,Emotional symptoms,2,Elbow weakness,2,Back weakness,2,Pus in sputum,"2"""," Also known as Gonadal Dysgenesis, XO Syndrome, and Bonnevie-ullrich Syndrome , , ,Turner syndrome or UllrichTurner syndrome (also known as ""Gonadal dysgenesis"":550), 45,X, encompasses several conditions in human females, of which monosomy X (absence of an entire sex chromosome, the Barr body) is most common. It is a chromosomal abnormality in which all or part of one of the sex chromosomes is absent or has other abnormalities (unaffected humans have 46 chromosomes, of which two are sex chromosomes). In some cases, the chromosome is missing in some cells but not others, a condition referred to as mosaicism or ""Turner mosaicism"". , Source: Wikipedia,Patients with turner syndrome often receive ",",Complete physical skin exam performed ML,Ultrasonography Ultrasound,Other diagnostic procedures interview evaluation consultation,Echocardiography,Depression screen Depression screening,Examination of breast,Ophthalmologic and otologic diagnosis and treatment,Corneal transplant",",Somatropin,Sulfamethoxazole Bactrim,Pimecrolimus Topical,Hyoscyamine A Spas,Ortho Cyclen,Carbamazepine,Ascorbic Acid,Nystatin Topical Product,Phenazopyridine Azo,Nifedipine,Levetiracetam Keppra","5-14,1-4",female,other
108,Cryptorchidism,Symptoms of the scrotum and testes,50,Swelling of scrotum,16,Pain in testicles,9,Flatulence,9,Pus draining from ear,9,Jaundice,9,Mass in scrotum,9,Lack of growth,9,White discharge from eye,9,Irritable infant,"9""",,,,," Also known as Undescended Testes, Cryptorchism, and Maldescent Of Testis , , ,Cryptorchidism (derived from the Greek ???????, kryptos, meaning hidden and ?????, orchis, meaning testicle) is the absence of one or both testes from the scrotum. It is the most common birth defect regarding male genitalia. In unique cases, cryptorchidism can develop later in life, often as late as young adulthood. About 3% of full-term and 30% of premature infant boys are born with at least one undescended testis. However, about 80% of cryptorchid testes descend by the first year of life (the majority within three months), making the true incidence of cryptorchidism around 1% overall. Cryptorchidism is distinct from monorchism the condition of having only one testicle. , Source: Wikipedia,Patients with cryptorchidism often receive ",",Complete physical skin exam performed ML,Ultrasonography Ultrasound,Pelvis exam,Rectal examination,Other OR therapeutic procedures male genital,Other OR therapeutic nervous system procedures,Occupational therapy assessment Speech therapy,Ophthalmic examination and evaluation Eye exam",",Haemophilus B Conjugate Vaccine Obsolete,Hepatitis B Vaccine Obsolete,Rotavirus Vaccines Rotavirus Vaccine,Desoximetasone Topical,Petrolatum Topical","5-14,1-4,< 1",male,"other,hispanic"
109,Poisoning due to ethylene glycol,Abusing alcohol,78,Fainting,64,Hostile behavior,45,Drug abuse,45,Depressive or psychotic symptoms,45,Sharp abdominal pain,29,Feeling ill,29,Vomiting,29,Headache,29,Depression,29,Nausea,29,Diarrhea,"29"""," Also known as Anti Freeze Poisoning and Ethylene Glycol Toxicity , , ,Poisoning due to ethylene glycol is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with poisoning due to ethylene glycol often receive , ",",Intravenous fluid replacement,Hematologic tests Blood test,Toxicology screen,Complete blood count Cbc,Electrocardiogram,Glucose measurement Glucose level,Blood alcohol,Kidney function tests Kidney function test",",Lorazepam,Thiamine,Naloxone Suboxone,Charcoal,Folic Acid,Famotidine,Haloperidol,Acetylcysteine,Trimethobenzamide Tigan,Magnesium Sulfate,Olanzapine Zyprexa,Phenytoin Dilantin","15-29,45-59",Unspecified,other
110,Atrophic vaginitis,Vaginal itching,45,Vaginal dryness,45,Painful urination,40,Involuntary urination,36,Pain during intercourse,31,Frequent urination,25,Lower abdominal pain,22,Suprapubic pain,22,Vaginal discharge,18,Blood in urine,14,Hot flashes,14,Intermenstrual bleeding,"14"""," , ,Atrophic vaginitis (also known as vaginal atrophy or urogenital atrophy) is an inflammation of the vagina (and the outer urinary tract) due to the thinning and shrinking of the tissues, as well as decreased lubrication. This is all due to a lack of the reproductive hormone estrogen. , Source: Wikipedia,Patients with atrophic vaginitis often receive ",",Pelvis exam,Examination of breast,Urinalysis,Mammography Mammogram,Rectal examination,Complete physical skin exam performed ML,Pap smear,Depression screen Depression screening",",Estrogens,emarin,Estradiol,Nitrofurantoin,Raloxifene Evista,Oxybutynin,Tolterodine Detrol,Progesterone,Solifenacin Vesicare,Risedronate Actonel,Calcium Citrate,Betamethasone Clotrimazole Topical,Psyllium","75+,60-74,45-59",female and,other
111,Fracture of the hand,Hand or finger pain,71,Wrist pain,67,Hand or finger swelling,39,Arm pain,23,Wrist swelling,12,Arm stiffness or tightness,4,Arm swelling,4,Hand or finger stiffness or tightness,3,Wrist stiffness or tightness,"2""",,,,,,," Also known as Broken Hand and Hand Fracture , , ,Fracture of the hand is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with fracture of the hand often receive , ",",Radiographic imaging procedure,Plain x ray X ray,Application of splint Splinting,Orthopedic casting,Traction splints and other wound care,Physical therapy exercises Exercises,Other non OR therapeutic procedures on musculoskeletal system,Occupational therapy assessment Speech therapy",",Carteolol,Disopyramide,Magnesium Amino Acid Chelate","5-14,15-29",male,other
112,Cellulitis or abscess of mouth,Lip swelling,87,Sore throat,42,Toothache,40,Abnormal appearing skin,26,Skin lesion,26,Difficulty in swallowing,23,Acne or pimples,19,Dry lips,19,Facial pain,19,Mouth ulcer,19,Throat swelling,19,Skin growth,"15"""," , ,Cellulitis or abscess of mouth is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with cellulitis or abscess of mouth often receive , ",",Complete physical skin exam performed ML,Excision Removal,Incision and drainage I d,Biopsy,Wound care management,Culture wound,Other OR therapeutic procedures on nose mouth and pharynx,Diagnostic procedures on nose mouth and pharynx",",Clindamycin,Dexamethasone Topical Product,Penicillin,Rivastigmine Exelon,Chlorhexidine Topical,Petrolatum Topical,Docosanol Topical,Sertaconazole Topical,Oxaprozin,Hydrocortisone Iodoquinol Topical,Retapamulin Topical,Sodium Sulfacetamide Sulfur Topical",,Unspecified,other
25,Eye alignment disorder,Eye deviation,41,Diminished vision,39,Double vision,36,Cross-eyed,35,Symptoms of eye,28,Pain in eye,14,Eye moves abnormally,11,Abnormal movement of eyelid,6,Foreign body sensation in eye,6,Lack of growth,6,Irregular appearing scalp,3,Swollen lymph nodes,"3"""," , ,When you look at an object, youre using several muscles to move both eyes to focus on it. If you have a problem with the muscles, the eyes dont work properly. There are many kinds of eye movement disorders. Two common ones are: Strabismus  a disorder in which the two eyes dont line up in the same direction. This results in crossed eyes or walleye. Nystagmus  fast, uncontrollable movements of the eyes, sometimes called dancing eyes Some eye movement disorders are present at birth. Others develop over time and may be associated with other problems, such as injuries. Treatments include glasses, eye muscle exercises, and surgery. There is no treatment for some kinds of eye movement disorders, such as most kinds of nystagmus. , Source: MedlinePlus,Patients with eye alignment disorder often receive ",",Ophthalmologic and otologic diagnosis and treatment,Other diagnostic procedures interview evaluation consultation,Other therapeutic procedures on eyelids conjunctiva cornea,Other therapeutic procedures,Ophthalmic examination and evaluation Eye exam,Other extraocular muscle and orbit therapeutic procedures,Occupational therapy assessment Speech therapy,Referral to home health care service",",Atropine Uaa,Phenylephrine Duramax,Cyclopentolate Ophthalmic,Tropicamide Ophthalmic,Dexamethasone Tobramycin Ophthalmic,Methazolamide Mzm,Fluorescein,Orlistat Alli,Colloidal Oatmeal Topical,Benzylpenicilloyl Polylysine Pre Pen,Ocular Lubricant","5-14,1-4,< 1",Unspecified,other
26,Headache after lumbar puncture,Headache,98,Nausea,65,Back pain,65,Vomiting,56,Dizziness,47,Neck pain,34,Low back pain,25,Pain of the anus,14,Pain during pregnancy,14,Painful urination,14,Pelvic pain,14,Impotence,"14"""," Also known as Spinal Headache, Lumbar Puncture Headache, Post Lumbar Puncture Headache, and Dural Headache Post Puncture , , ,Headache after lumbar puncture is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with headache after lumbar puncture often receive , ",",Intravenous fluid replacement,Complete blood count Cbc,Hematologic tests Blood test,Electrolytes panel,Glucose measurement Glucose level,Kidney function tests Kidney function test,Liver function tests Liver test,Prothrombin time assay Prothrombin time",",Hydromorphone Dilaudid,Caffeine,Prochlorperazine Compro,Midazolam Versed,Caffeine Sodium Benzoate,Zidovudine,Zolmitriptan Zomig,Dexamethasone Tobramycin Ophthalmic,Betamethasone Clotrimazole Topical","30-44,15-29",Unspecified,other
